2020-5-22:一共211套
华泾,460,单价50824元/平米,2室2厅 | 90.51平米 | 东南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,所在页数6
上海南站,460,单价56581元/平米,2室1厅 | 81.3平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,所在页数2
华东理工,460,单价47243元/平米,2室2厅 | 97.37平米 | 南 | 简装 | 低楼层(共27层) | 1997年建 | 塔楼,所在页数7
上海南站,460,单价52686元/平米,3室1厅 | 87.31平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,所在页数4
植物园,460,单价48447元/平米,3室1厅 | 94.95平米 | 南 北 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,所在页数5
田林,460,单价51622元/平米,2室1厅 | 89.11平米 | 南 | 简装 | 低楼层(共30层) | 1993年建 | 塔楼,所在页数6
康健,460,单价52560元/平米,2室1厅 | 87.52平米 | 南 | 精装 | 6层 | 1990年建 | 板楼,所在页数3
上海南站,465,单价53541元/平米,3室1厅 | 86.85平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,所在页数4
华东理工,465,单价43695元/平米,2室1厅 | 106.42平米 | 南 西 | 精装 | 低楼层(共23层) | 1997年建 | 塔楼,所在页数3
田林,465,单价53882元/平米,2室1厅 | 86.3平米 | 南 | 简装 | 低楼层(共29层) | 1991年建 | 塔楼,所在页数3
植物园,468,单价44862元/平米,3室1厅 | 104.32平米 | 南 | 简装 | 中楼层(共24层) | 1996年建 | 塔楼,所在页数7
康健,470,单价49277元/平米,2室1厅 | 95.38平米 | 南 北 | 毛坯 | 28层 | 1996年建 | 塔楼,所在页数5
华泾,470,单价55490元/平米,2室1厅 | 84.7平米 | 南 | 简装 | 高楼层(共12层) | 2005年建 | 板楼,所在页数7
漕河泾,476,单价51084元/平米,2室2厅 | 93.18平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,所在页数2
田林,480,单价53867元/平米,2室1厅 | 89.11平米 | 南 | 精装 | 低楼层(共30层) | 1993年建 | 塔楼,所在页数6
植物园,480,单价53334元/平米,2室1厅 | 90平米 | 南 | 简装 | 中楼层(共24层) | 1999年建 | 塔楼,所在页数6
植物园,480,单价53133元/平米,2室1厅 | 90.34平米 | 东南 | 简装 | 低楼层(共24层) | 1999年建 | 塔楼,所在页数6
上海南站,480,单价53411元/平米,2室2厅 | 89.87平米 | 南 北 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,所在页数2
植物园,480,单价53133元/平米,3室1厅 | 90.34平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,所在页数4
龙华,480,单价57376元/平米,2室1厅 | 83.66平米 | 南 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,所在页数7
华东理工,480,单价49297元/平米,2室1厅 | 97.37平米 | 南 | 精装 | 低楼层(共27层) | 1997年建 | 塔楼,所在页数7
上海南站,482,单价58503元/平米,2室1厅 | 82.39平米 | 南 北 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,所在页数2
龙华,485,单价57336元/平米,3室1厅 | 84.59平米 | 南 北 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,所在页数2
上海南站,485,单价55786元/平米,3室1厅 | 86.94平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,所在页数6
植物园,489,单价56591元/平米,2室1厅 | 86.41平米 | 南 | 毛坯 | 高楼层(共15层) | 1995年建 | 塔楼,所在页数3
植物园,490,单价46828元/平米,3室1厅 | 104.64平米 | 南 | 简装 | 低楼层(共24层) | 1999年建 | 塔楼,所在页数8
龙华,490,单价58571元/平米,2室1厅 | 83.66平米 | 南 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,所在页数4
华东理工,490,单价57465元/平米,2室1厅 | 85.27平米 | 南 | 精装 | 中楼层(共7层) | 1995年建 | 板楼,所在页数7
龙华,490,单价53517元/平米,3室1厅 | 91.56平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,所在页数2
华东理工,492,单价50287元/平米,3室1厅 | 97.84平米 | 南 | 简装 | 低楼层(共23层) | 1997年建 | 塔楼,所在页数3
漕河泾,495,单价59389元/平米,2室1厅 | 83.35平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,所在页数2
华东理工,495,单价54504元/平米,2室1厅 | 90.82平米 | 南 | 精装 | 20层 | 1999年建 | 塔楼,所在页数1
华东理工,498,单价51146元/平米,2室2厅 | 97.37平米 | 南 | 精装 | 低楼层(共27层) | 1997年建 | 塔楼,所在页数1
康健,500,单价52422元/平米,2室1厅 | 95.38平米 | 南 | 精装 | 28层 | 1995年建 | 塔楼,所在页数5
华泾,500,单价57150元/平米,2室2厅 | 87.49平米 | 南 北 | 简装 | 低楼层(共18层) | 2013年建 | 板楼,所在页数7
华东理工,500,单价52406元/平米,3室2厅 | 95.41平米 | 西南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,所在页数4
华东理工,500,单价46491元/平米,3室1厅 | 107.55平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,所在页数2
龙华,500,单价57611元/平米,3室1厅 | 86.79平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,所在页数4
植物园,500,单价59981元/平米,3室1厅 | 83.36平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,所在页数6
上海南站,504,单价53583元/平米,3室1厅 | 94.06平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,所在页数1
漕河泾,505,单价62632元/平米,2室2厅 | 80.63平米 | 南 | 简装 | 低楼层(共16层) | 1997年建 | 板楼,所在页数2
华泾,506,单价59411元/平米,2室1厅 | 85.17平米 | 南 | 简装 | 低楼层(共11层) | 2008年建 | 板楼,所在页数2
植物园,508,单价54884元/平米,2室1厅 | 92.56平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,所在页数1
