2020-3-29:一共250套
华泾,350,单价43533元/平米, 80.4平米 , 高楼层(共6层) , 1999年建 所在页数2
华泾,350,单价39823元/平米, 87.89平米 , 高楼层(共6层) , 1999年建 所在页数1
华泾,360,单价44654元/平米, 80.62平米 , 低楼层(共6层) , 1997年建 所在页数4
华东理工,372,单价45223元/平米, 82.26平米 , 高楼层(共6层) , 1996年建 所在页数1
华东理工,378,单价46489元/平米, 81.31平米 , 高楼层(共18层) , 1996年建 所在页数2
植物园,380,单价47500元/平米, 80平米 , 低楼层(共24层) , 1996年建 所在页数8
华泾,381,单价46071元/平米, 82.7平米 , 高楼层(共6层) , 1994年建 所在页数3
华东理工,385,单价46832元/平米, 82.21平米 , 高楼层(共6层) , 1994年建 所在页数2
华泾,385,单价45295元/平米, 85平米 , 低楼层(共6层)  , 板楼所在页数4
华东理工,390,单价48149元/平米, 81平米 , 高楼层(共6层) , 1996年建 所在页数6
长桥,390,单价47971元/平米, 81.3平米 , 中楼层(共25层) , 1999年建 所在页数6
华东理工,390,单价47748元/平米, 81.68平米 , 中楼层(共23层) , 1996年建 所在页数5
华东理工,398,单价44301元/平米, 89.84平米 , 高楼层(共6层) , 1994年建 所在页数6
华泾,400,单价46631元/平米, 85.78平米 , 低楼层(共28层) , 2013年建 所在页数8
长桥,405,单价48055元/平米, 84.28平米 , 中楼层(共6层) , 1995年建 所在页数8
华泾,405,单价49259元/平米, 82.22平米 , 低楼层(共26层) , 2013年建 所在页数8
华东理工,410,单价50000元/平米, 82平米 , 中楼层(共23层) , 1996年建 所在页数6
长桥,410,单价49067元/平米, 83.56平米 , 中楼层(共6层) , 1995年建 所在页数8
华东理工,410,单价49873元/平米, 82.21平米 , 高楼层(共6层) , 1994年建 所在页数7
华东理工,410,单价49873元/平米, 82.21平米 , 高楼层(共6层) , 1994年建 所在页数6
华泾,410,单价50000元/平米, 82平米 , 高楼层(共32层) , 2013年建 所在页数8
上海南站,415,单价47516元/平米, 87.34平米 , 高楼层(共7层) , 1996年建 所在页数4
龙华,415,单价50653元/平米, 81.93平米 , 高楼层(共7层) , 1994年建 所在页数5
华泾,415,单价50610元/平米, 82平米 , 中楼层(共32层) , 2013年建 所在页数5
华东理工,415,单价49814元/平米, 83.31平米 , 高楼层(共6层) , 1995年建 所在页数5
华东理工,415,单价50067元/平米, 82.89平米 , 高楼层(共6层) , 2000年建 所在页数6
上海南站,415,单价49388元/平米, 84.03平米 , 高楼层(共7层) , 1996年建 所在页数6
长桥,418,单价49697元/平米, 84.11平米 , 高楼层(共6层) , 1994年建 所在页数2
华东理工,418,单价51535元/平米, 81.11平米 , 高楼层(共6层) , 2000年建 所在页数6
徐家汇,420,单价48992元/平米, 85.73平米 , 低楼层(共9层) , 1998年建 所在页数8
华东理工,420,单价51655元/平米, 81.31平米 , 低楼层(共18层) , 1996年建 所在页数9
植物园,420,单价44007元/平米, 95.44平米 , 高楼层(共6层) , 1995年建 所在页数6
田林,425,单价52360元/平米, 81.17平米 , 低楼层(共29层) , 1995年建 所在页数1
华东理工,426,单价50552元/平米, 84.27平米 , 低楼层(共18层) , 1995年建 所在页数7
徐家汇,428,单价44133元/平米, 96.98平米 , 高楼层(共29层) , 1991年建 所在页数4
华泾,430,单价48522元/平米, 88.62平米 , 低楼层(共26层) , 2013年建 所在页数1
华东理工,430,单价48250元/平米, 89.12平米 , 高楼层(共6层) , 1995年建 所在页数5
华东理工,430,单价51808元/平米, 83平米 , 中楼层(共6层) , 1995年建 所在页数5
华东理工,430,单价52306元/平米, 82.21平米 , 高楼层(共6层) , 1994年建 所在页数2
华泾,430,单价52172元/平米, 82.42平米 , 高楼层(共6层) , 2002年建 所在页数3
植物园,430,单价49763元/平米, 86.41平米 , 高楼层(共15层) , 1995年建 所在页数3
华泾,430,单价52198元/平米, 82.38平米 , 低楼层(共12层) , 2005年建 所在页数2
华东理工,435,单价52875元/平米, 82.27平米 , 高楼层(共6层) , 1995年建 所在页数5
植物园,435,单价41572元/平米, 104.64平米 , 中楼层(共24层) , 1999年建 所在页数3
长桥,437,单价47147元/平米, 92.69平米 , 高楼层(共25层) , 1999年建 所在页数5
上海南站,440,单价52282元/平米, 84.16平米 , 高楼层(共6层) , 1998年建 所在页数6
华泾,440,单价53679元/平米, 81.97平米 , 中楼层(共32层) , 2013年建 所在页数2
植物园,445,单价51835元/平米, 85.85平米 , 高楼层(共6层) , 1998年建 所在页数6
长桥,445,单价48010元/平米, 92.69平米 , 低楼层(共25层) , 1999年建 所在页数3
康健,445,单价53230元/平米, 83.6平米 , 6层 , 1989年建 所在页数5
华泾,445,单价49166元/平米, 90.51平米 , 低楼层(共6层) , 1999年建 所在页数7
华东理工,448,单价52881元/平米, 84.72平米 , 低楼层(共6层) , 1997年建 所在页数6
田林,449,单价50388元/平米, 89.11平米 , 低楼层(共30层) , 1993年建 所在页数4
徐家汇,450,单价46676元/平米, 96.41平米 , 低楼层(共29层) , 1991年建 所在页数7
华东理工,450,单价48098元/平米, 93.56平米 , 高楼层(共18层) , 1996年建 所在页数9
田林,455,单价56056元/平米, 81.17平米 , 低楼层(共29层) , 1995年建 所在页数7
康健,455,单价48747元/平米, 93.34平米 , 28层  , 塔楼所在页数3
植物园,455,单价43616元/平米, 104.32平米 , 中楼层(共24层) , 1996年建 所在页数7
漕河泾,458,单价50732元/平米, 90.28平米 , 高楼层(共6层) , 1995年建 所在页数5
华东理工,459,单价55576元/平米, 82.59平米 , 高楼层(共6层) , 1999年建 所在页数1
康健,460,单价52560元/平米, 87.52平米 , 6层 , 1990年建 所在页数4
华东理工,460,单价47243元/平米, 97.37平米 , 低楼层(共27层) , 1997年建 所在页数9
华东理工,460,单价47243元/平米, 97.37平米 , 低楼层(共27层) , 1997年建 所在页数8
田林,460,单价56672元/平米, 81.17平米 , 中楼层(共29层) , 1995年建 所在页数7
上海南站,460,单价52686元/平米, 87.31平米 , 高楼层(共6层) , 1994年建 所在页数9
田林,465,单价53882元/平米, 86.3平米 , 低楼层(共29层) , 1991年建 所在页数4
上海南站,465,单价53541元/平米, 86.85平米 , 高楼层(共6层) , 1995年建 所在页数2
田林,465,单价55850元/平米, 83.26平米 , 高楼层(共29层) , 1991年建 所在页数1
龙华,465,单价55583元/平米, 83.66平米 , 中楼层(共7层) , 1997年建 所在页数6
植物园,468,单价49290元/平米, 94.95平米 , 低楼层(共6层) , 1995年建 所在页数3
华泾,470,单价53282元/平米, 88.21平米 , 中楼层(共6层) , 2004年建 所在页数7
华泾,470,单价53282元/平米, 88.21平米 , 低楼层(共6层) , 2004年建 所在页数4
华东理工,470,单价48038元/平米, 97.84平米 , 低楼层(共23层) , 1997年建 所在页数7
上海南站,470,单价53900元/平米, 87.2平米 , 高楼层(共6层) , 1994年建 所在页数3
田林,470,单价52744元/平米, 89.11平米 , 低楼层(共30层) , 1993年建 所在页数7
华东理工,470,单价44165元/平米, 106.42平米 , 低楼层(共23层) , 1997年建 所在页数7
康健,470,单价49277元/平米, 95.38平米 , 28层 , 1996年建 所在页数5
上海南站,475,单价54984元/平米, 86.39平米 , 高楼层(共6层) , 1999年建 所在页数2
华泾,475,单价56081元/平米, 84.7平米 , 高楼层(共12层) , 2005年建 所在页数9
华东理工,475,单价55330元/平米, 85.85平米 , 中楼层(共13层) , 2015年建 所在页数8
植物园,480,单价54739元/平米, 87.69平米 , 中楼层(共7层) , 2011年建 所在页数4
植物园,480,单价53133元/平米, 90.34平米 , 高楼层(共6层) , 1998年建 所在页数5
康健,480,单价50326元/平米, 95.38平米 , 28层 , 1995年建 所在页数4
植物园,480,单价53133元/平米, 90.34平米 , 低楼层(共24层) , 1999年建 所在页数7
龙华,480,单价57376元/平米, 83.66平米 , 高楼层(共7层) , 1997年建 所在页数8
田林,480,单价53867元/平米, 89.11平米 , 低楼层(共30层) , 1993年建 所在页数2
上海南站,482,单价58503元/平米, 82.39平米 , 高楼层(共6层) , 1999年建 所在页数2
上海南站,485,单价55786元/平米, 86.94平米 , 高楼层(共6层) , 1995年建 所在页数2
漕河泾,485,单价58189元/平米, 83.35平米 , 高楼层(共7层) , 1995年建 所在页数6
龙华,485,单价57336元/平米, 84.59平米 , 高楼层(共7层) , 1997年建 所在页数3
漕河泾,485,单价58189元/平米, 83.35平米 , 高楼层(共6层) , 1995年建 所在页数1
植物园,485,单价50807元/平米, 95.46平米 , 低楼层(共6层) , 1995年建 所在页数7
康健,488,单价59900元/平米, 81.47平米 , 高楼层(共6层) , 1999年建 所在页数8
植物园,489,单价56591元/平米, 86.41平米 , 高楼层(共15层) , 1995年建 所在页数7
植物园,490,单价46828元/平米, 104.64平米 , 低楼层(共24层) , 1999年建 所在页数9
华泾,490,单价57123元/平米, 85.78平米 , 中楼层(共28层) , 2013年建 所在页数1
华东理工,490,单价57465元/平米, 85.27平米 , 中楼层(共7层) , 1995年建 所在页数7
龙华,490,单价53517元/平米, 91.56平米 , 高楼层(共6层) , 1994年建 所在页数2
植物园,490,单价46971元/平米, 104.32平米 , 中楼层(共24层) , 1996年建 所在页数8
漕河泾,495,单价53123元/平米, 93.18平米 , 低楼层(共6层) , 1995年建 所在页数3
漕河泾,495,单价59639元/平米, 83平米 , 高楼层(共6层) , 1995年建 所在页数5
上海南站,495,单价44134元/平米, 112.16平米 , 高楼层(共7层) , 1996年建 所在页数8
上海南站,498,单价55414元/平米, 89.87平米 , 高楼层(共6层) , 1999年建 所在页数5
康健,499,单价45094元/平米, 110.66平米 , 28层 , 1996年建 所在页数2
华泾,499,单价49284元/平米, 101.25平米 , 低楼层(共26层) , 2011年建 所在页数8
华东理工,500,单价46491元/平米, 107.55平米 , 中楼层(共6层) , 1996年建 所在页数2
华泾,500,单价43631元/平米, 114.6平米 , 高楼层(共6层) , 2003年建 所在页数8
华东理工,500,单价52406元/平米, 95.41平米 , 高楼层(共6层) , 1995年建 所在页数2
康健,500,单价52422元/平米, 95.38平米 , 28层 , 1995年建 所在页数1
龙华,500,单价57611元/平米, 86.79平米 , 低楼层(共6层) , 1994年建 所在页数2
华泾,500,单价43631元/平米, 114.6平米 , 高楼层(共6层) , 2003年建 所在页数3
上海南站,504,单价53583元/平米, 94.06平米 , 高楼层(共6层) , 1994年建 所在页数1
万体馆,505,单价62733元/平米, 80.5平米 , 中楼层(共18层) , 1992年建 所在页数2
华东理工,505,单价55605元/平米, 90.82平米 , 20层 , 1999年建 所在页数3
华东理工,505,单价51753元/平米, 97.58平米 , 高楼层(共18层) , 1996年建 所在页数7
漕河泾,505,单价62632元/平米, 80.63平米 , 低楼层(共16层) , 1997年建 所在页数3
上海南站,510,单价47451元/平米, 107.48平米 , 高楼层(共7层) , 1997年建 所在页数5
漕河泾,510,单价61684元/平米, 82.68平米 , 高楼层(共6层) , 1999年建 所在页数5
龙华,510,单价60962元/平米, 83.66平米 , 高楼层(共7层) , 1997年建 所在页数9
华东理工,512,单价52331元/平米, 97.84平米 , 低楼层(共23层) , 1997年建 所在页数7
田林,513,单价59088元/平米, 86.82平米 , 高楼层(共29层) , 1997年建 所在页数5
田林,515,单价59676元/平米, 86.3平米 , 中楼层(共29层) , 1997年建 所在页数4
华东理工,515,单价52637元/平米, 97.84平米 , 高楼层(共23层) , 1997年建 所在页数3
田林,515,单价63409元/平米, 81.22平米 , 中楼层(共29层) , 1995年建 所在页数5
华泾,516,单价62637元/平米, 82.38平米 , 中楼层(共12层) , 2005年建 所在页数3
植物园,519,单价61588元/平米, 84.27平米 , 高楼层(共18层) , 1993年建 所在页数7
